run_id,benchmark,method,noise_type,noise_rate,seed,task,gate_mean,gate_on_correct,gate_on_wrong,gate_separation,corr_gate_correct,buffer_purity,admission_rate
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,oracle,cifar10n:aggre,0.086,0,3,0.9271578947368421,1.0,0.0,1.0,1.0,1.0,0.9271578947368421
cifar10n_taskil__c10n_aggre__oracle__seed0,cifar10n_taskil,oracle,cifar10n:aggre,0.086,0,4,0.9322105263157895,1.0,0.0,1.0,0.9999999999999998,1.0,0.9322105263157895
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,oracle,cifar10n:aggre,0.09,1,0,0.9456842105263158,1.0,0.0,1.0,1.0,1.0,0.9456842105263158
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,oracle,cifar10n:aggre,0.09,1,1,0.871578947368421,1.0,0.0,1.0,1.0,1.0,0.871578947368421
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,oracle,cifar10n:aggre,0.09,1,2,0.8703157894736843,1.0,0.0,1.0,1.0,1.0,0.8703157894736843
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,oracle,cifar10n:aggre,0.09,1,3,0.9258947368421052,1.0,0.0,1.0,1.0,1.0,0.9258947368421052
cifar10n_taskil__c10n_aggre__oracle__seed1,cifar10n_taskil,oracle,cifar10n:aggre,0.09,1,4,0.9368421052631579,1.0,0.0,1.0,1.0,1.0,0.9368421052631579
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,oracle,cifar10n:aggre,0.092,2,0,0.9381052631578948,1.0,0.0,1.0,1.0,1.0,0.9381052631578948
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,oracle,cifar10n:aggre,0.092,2,1,0.888421052631579,1.0,0.0,1.0,1.0,1.0,0.888421052631579
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,oracle,cifar10n:aggre,0.092,2,2,0.8522105263157894,1.0,0.0,1.0,0.9999999999999999,1.0,0.8522105263157894
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,oracle,cifar10n:aggre,0.092,2,3,0.9305263157894736,1.0,0.0,1.0,1.0,1.0,0.9305263157894736
cifar10n_taskil__c10n_aggre__oracle__seed2,cifar10n_taskil,oracle,cifar10n:aggre,0.092,2,4,0.9322105263157895,1.0,0.0,1.0,0.9999999999999998,1.0,0.9322105263157895
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,oracle,cifar10n:aggre,0.089,3,0,0.9385263157894737,1.0,0.0,1.0,1.0,1.0,0.9385263157894737
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,oracle,cifar10n:aggre,0.089,3,1,0.8842105263157894,1.0,0.0,1.0,1.0,1.0,0.8842105263157894
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,oracle,cifar10n:aggre,0.089,3,2,0.8631578947368421,1.0,0.0,1.0,1.0,1.0,0.8631578947368421
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,oracle,cifar10n:aggre,0.089,3,3,0.9305263157894736,1.0,0.0,1.0,1.0,1.0,0.9305263157894736
cifar10n_taskil__c10n_aggre__oracle__seed3,cifar10n_taskil,oracle,cifar10n:aggre,0.089,3,4,0.9381052631578948,1.0,0.0,1.0,1.0,1.0,0.9381052631578948
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,oracle,cifar10n:aggre,0.088,4,0,0.9448421052631579,1.0,0.0,1.0,0.9999999999999999,1.0,0.9448421052631579
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,oracle,cifar10n:aggre,0.088,4,1,0.8787368421052631,1.0,0.0,1.0,1.0,1.0,0.8787368421052631
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,oracle,cifar10n:aggre,0.088,4,2,0.872,1.0,0.0,1.0,0.9999999999999999,1.0,0.872
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,oracle,cifar10n:aggre,0.088,4,3,0.9221052631578948,1.0,0.0,1.0,0.9999999999999998,1.0,0.9221052631578948
cifar10n_taskil__c10n_aggre__oracle__seed4,cifar10n_taskil,oracle,cifar10n:aggre,0.088,4,4,0.9410526315789474,1.0,0.0,1.0,1.0,1.0,0.9410526315789474
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,0,0,0.210054774654539,0.22585149816353647,0.18421196616146213,0.04163953200207435,0.08014702868401437,0.666,0.21321052631578946
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,0,1,0.10728391985379551,0.10999333532769802,0.10375800417409488,0.006235331153603141,0.022413679217335697,0.64,0.10857894736842105
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:worse,0.4,0,2,0.10091761138309774,0.10313202082215867,0.0983290779748804,0.004802942847278266,0.01874482220780985,0.602,0.10278947368421053
