run_id,benchmark,method,noise_type,noise_rate,seed,bin_center,bin_acc,bin_conf,bin_count
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.6333333333333333,0.5098039215686274,0.6331186966568816,204
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.7,0.5727272727272728,0.70140545937148,220
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.7666666666666666,0.6259842519685039,0.7686738120758627,254
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.8333333333333334,0.6137724550898204,0.8367950566514524,334
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.9,0.6579476861167002,0.9034537300017758,497
cifar10n_taskil__c10n_aggre__gate_conf__seed0,cifar10n_taskil,gate_conf,cifar10n:aggre,0.086,0,0.9666666666666667,0.8146417445482866,0.9881036977530269,3210
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.03333333333333333,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.1,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.16666666666666669,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.23333333333333334,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.3,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.3666666666666667,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.43333333333333335,,,0
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.5,0.5531914893617021,0.5156075586663916,94
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.5666666666666667,0.485,0.5655895045399666,200
cifar10n_taskil__c10n_aggre__gate_conf__seed1,cifar10n_taskil,gate_conf,cifar10n:aggre,0.09,1,0.6333333333333333,0.5190476190476191,0.6334853711582366,210
