run_id,benchmark,dataset,method,family,gate_signal,label_free,backbone,noise_type,noise_rate,condition,seed,multihead,average_accuracy,class_il_acc,task_il_acc,mean_forgetting,backward_transfer,forward_transfer,buffer_purity,buffer_diversity,buffer_class_balance,class_count_variance,minority_class_coverage,n_classes_represented,gate_corr,gate_on_correct,gate_on_wrong,admission_rate,gate_separation,inversion_flag,inversion_rate,time_to_inversion,replay_loss_clean,replay_loss_noisy,ece,brier,nll,clean_mean_confidence,mislabeled_mean_confidence,clean_ece,mislabeled_ece,high_conf_mislabeled_fraction,total_time_s,peak_memory_mb,n_params
cifar10n_taskil__c10n_worse__er__seed0,cifar10n_taskil,cifar10n_worse_taskil,er,replay,random,True,resnet18,cifar10n:worse,0.4,c10n_worse,0,True,0.5586,,0.5586,0.06825,-0.05550000000000002,-0.011499999999999996,0.604,0.9828468245204562,0.41333333333333333,197.4,1.0,10,,,,,,False,,,0.06348910481973309,0.0590631966950595,0.3236734301567078,0.717747608336294,1.6450781001165395,0.8789955377578735,0.8795937299728394,0.23647937697495208,0.43821551486012716,0.39814043852345266,180.179340839386,1022.355456,11173962
cifar10n_taskil__c10n_worse__er__seed1,cifar10n_taskil,cifar10n_worse_taskil,er,replay,random,True,resnet18,cifar10n:worse,0.393,c10n_worse,1,True,0.5373999999999999,,0.5373999999999999,0.07350000000000001,-0.07300000000000001,0.0017500000000000016,0.57,0.9909223527514034,0.4444444444444444,95.8,1.0,10,,,,,,False,,,0.07852051066941107,0.09535417351189125,0.34321910290718083,0.7531020466516399,1.6150752903686438,0.8839410543441772,0.8860461711883545,0.24490593988907974,0.49256838398720415,0.39743246857448516,180.27242827415466,1022.355456,11173962
cifar10n_taskil__c10n_worse__er__seed2,cifar10n_taskil,cifar10n_worse_taskil,er,replay,random,True,resnet18,cifar10n:worse,0.402,c10n_worse,2,True,0.5508,,0.5508,0.07450000000000001,-0.05875,-0.002250000000000002,0.636,0.9917655768621246,0.5223880597014925,95.0,1.0,10,,,,,,False,,,0.05848426183315249,0.06082455839299096,0.30605348677635197,0.7019554839273057,1.3862660230599133,0.8663278818130493,0.8588002920150757,0.22647372943956862,0.41262165017280844,0.3889728096676737,180.27917790412903,1022.355456,11173962
cifar10n_taskil__c10n_worse__er__seed3,cifar10n_taskil,cifar10n_worse_taskil,er,replay,random,True,resnet18,cifar10n:worse,0.389,c10n_worse,3,True,0.5548,,0.5548,0.07175000000000001,-0.0695,0.0017500000000000016,0.596,0.995593749004649,0.6451612903225806,51.2,1.0,10,,,,,,False,,,0.058945213666635105,0.03531154950649308,0.31955974624156946,0.7207498457925754,1.542763938756449,0.8817235827445984,0.8783748149871826,0.22599032855579318,0.4388857359854167,0.383078407055257,180.2422285079956,1022.355456,11173962
cifar10n_taskil__c10n_worse__er__seed4,cifar10n_taskil,cifar10n_worse_taskil,er,replay,random,True,resnet18,cifar10n:worse,0.4,c10n_worse,4,True,0.5561999999999999,,0.5561999999999999,0.06999999999999998,-0.06699999999999998,0.025000000000000022,0.58,0.9914926077443524,0.5072463768115942,98.2,1.0,10,,,,,,False,,,0.13137929470089285,0.14125409093007865,0.29492783181667326,0.6879097733870602,1.5353487124458085,0.8541687726974487,0.852006733417511,0.23434566896684414,0.37805182291100725,0.3974116161616162,180.29262280464172,1022.355456,11173962
cifar10n_taskil__c10n_worse__gate_conf__seed0,cifar10n_taskil,cifar10n_worse_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:worse,0.4,c10n_worse,0,True,0.5622,,0.5622,0.039500000000000035,-0.021250000000000047,-0.006749999999999992,0.662,0.9749274157676044,0.3333333333333333,293.4,1.0,10,0.06892206718141791,0.18610914356771335,0.14535411445597943,0.1708421052631579,0.040755029111733926,False,0.0,,0.31127559107960584,0.13703709272798067,0.29806124354600905,0.6762396314984518,1.312896744251302,0.8730858564376831,0.8571170568466187,0.17791600516591635,0.4253897908334353,0.37804695678181544,216.1154282093048,1027.148288,11173962
cifar10n_taskil__c10n_worse__gate_conf__seed1,cifar10n_taskil,cifar10n_worse_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:worse,0.393,c10n_worse,1,True,0.5906,,0.5906,0.08574999999999999,-0.08324999999999999,0.0020000000000000157,0.614,0.9716311198474142,0.3020833333333333,354.4,1.0,10,0.04094330220932746,0.15866854693987478,0.12850235854748715,0.14994736842105263,0.030166188392387633,False,0.2,,0.11560303351663184,0.2523998830261481,0.25875260416269297,0.6405486542156222,1.2590544114656037,0.850519061088562,0.8334839344024658,0.20165824623262582,0.3584785506311493,0.37563971340839303,216.27589511871338,1022.354432,11173962
cifar10n_taskil__c10n_worse__gate_conf__seed2,cifar10n_taskil,cifar10n_worse_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:worse,0.402,c10n_worse,2,True,0.5904,,0.5904,0.05274999999999999,-0.03375,0.01899999999999999,0.678,0.9702144966044186,0.3048780487804878,332.6,1.0,10,0.0768771090204628,0.1542143972279063,0.11953886143449054,0.14163157894736841,0.03467553579341577,False,0.0,,0.04235100717300074,0.039064230693408614,0.2759369758367539,0.6519629188057686,1.416760989478582,0.8813794851303101,0.8630179166793823,0.17411393491156302,0.4434348969196789,0.3759583393606249,215.9763307571411,1025.512448,11173962
cifar10n_taskil__c10n_worse__gate_conf__seed3,cifar10n_taskil,cifar10n_worse_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:worse,0.389,c10n_worse,3,True,0.5808,,0.5808,0.03200000000000003,-0.03200000000000003,0.010250000000000009,0.67,0.9771926212983395,0.36,251.4,1.0,10,0.06480913844983274,0.16472886617577234,0.12823629507627815,0.15073684210526317,0.03649257109949419,False,0.0,,0.13358663965649087,0.12653044451189546,0.2772072277545929,0.6640485358769103,1.4287400712731777,0.863115131855011,0.8534337878227234,0.18830116227877053,0.39099603604898747,0.37114692536379285,215.73086595535278,1028.59008,11173962
cifar10n_taskil__c10n_worse__gate_conf__seed4,cifar10n_taskil,cifar10n_worse_taskil,gate_conf,replay-gate,confidence,True,resnet18,cifar10n:worse,0.4,c10n_worse,4,True,0.6115999999999999,,0.6115999999999999,0.02974999999999997,0.01824999999999999,-0.011249999999999996,0.668,0.974118343950109,0.29411764705882354,272.0,1.0,10,0.06867859807188081,0.1684453421457837,0.13643187788952982,0.1568421052631579,0.03201346425625387,False,0.0,,0.04316420781958394,0.0760902205462033,0.27515438449382784,0.6344119257617917,1.3492462252227055,0.8968071341514587,0.8787328004837036,0.18596022229975867,0.4261814817685873,0.37762420133003,215.64776396751404,1021.860864,11173962
cifar10n_taskil__c10n_worse__gate_loss__seed0,cifar10n_taskil,cifar10n_worse_taskil,gate_loss,replay-gate,error,False,resnet18,cifar10n:worse,0.4,c10n_worse,0,True,0.5906,,0.5906,0.07449999999999996,-0.06499999999999995,-0.0605,0.616,0.9770646408822676,0.42105263157894735,270.2,1.0,10,0.24334111920333873,0.755349752210585,0.6308454763793109,0.7041578947368421,0.1245042758312741,False,0.0,,0.08342057261732122,0.08582864270669255,0.2674531104326248,0.6358569678960847,1.2807551273243325,0.860980749130249,0.8597148656845093,0.18570036747187119,0.3785763090970565,0.3923326634719431,218.43989849090576,1024.232448,11173962
